date,country,D,H,I,M,S
2021-05-01,Japan,9,2,1,107,2
2021-05-01,Sweden,2,0,0,7,0
2021-05-02,Afghanistan,3,0,0,32,2
2021-05-02,Japan,9,2,1,107,2
2021-05-02,Sweden,2,0,0,7,0
2021-05-03,Afghanistan,3,0,0,32,2
2021-05-03,Japan,9,2,0,108,2
2021-05-03,Sweden,2,0,0,7,0
2021-05-04,Afghanistan,3,0,0,33,1
2021-05-04,Japan,9,2,0,109,1
2021-05-04,Sweden,2,0,0,7,0
2021-05-05,Afghanistan,3,0,0,33,1
2021-05-05,Japan,9,1,1,109,1
2021-05-05,Sweden,2,0,0,7,0
2021-05-06,Afghanistan,3,0,0,33,1
2021-05-06,Japan,9,1,1,109,1
2021-05-06,Sweden,2,0,0,7,0
2021-05-07,Afghanistan,3,0,0,33,1
2021-05-07,Japan,9,1,1,110,0
2021-05-07,Sweden,2,0,0,7,0
2021-05-08,Afghanistan,3,0,0,33,1
2021-05-08,Japan,9,1,1,110,0
2021-05-08,Sweden,2,0,0,7,0
2021-05-09,Afghanistan,3,0,0,34,0
2021-05-09,Japan,9,1,0,110,1
2021-05-09,Sweden,2,0,0,7,0
2021-05-10,Afghanistan,3,0,0,34,0
2021-05-10,Japan,9,0,1,110,1
2021-05-10,Sweden,2,0,0,7,0
2021-05-11,Afghanistan,3,0,0,34,0
2021-05-11,Japan,9,0,1,110,1
2021-05-11,Sweden,2,0,0,7,0
2021-05-12,Afghanistan,3,0,0,34,0
2021-05-12,Japan,9,0,1,110,1
2021-05-12,Sweden,2,0,0,7,0
2021-05-13,Afghanistan,3,0,0,34,0
2021-05-13,Japan,9,0,1,110,1
2021-05-13,Sweden,2,0,0,7,0
2021-05-14,Afghanistan,3,0,0,34,0
2021-05-14,Japan,9,0,0,110,2
2021-05-14,Sweden,2,0,0,7,0
2021-05-15,Afghanistan,3,0,0,34,0
2021-05-15,Japan,9,0,0,110,2
2021-05-15,Sweden,2,0,0,7,0
2021-05-16,Afghanistan,3,0,0,34,0
2021-05-16,Japan,9,0,0,110,2
2021-05-16,Sweden,2,0,0,7,0
2021-05-17,Afghanistan,3,0,0,34,0
2021-05-17,Japan,9,0,0,110,2
2021-05-17,Sweden,2,0,0,7,0
2021-05-18,Afghanistan,3,0,0,34,0
2021-05-18,Japan,9,0,0,110,2
2021-05-18,Sweden,2,0,0,7,0
2021-05-19,Afghanistan,3,0,0,34,0
2021-05-19,Japan,9,0,0,110,2
2021-05-19,Sweden,2,0,0,7,0
2021-05-20,Afghanistan,3,0,0,34,0
2021-05-20,Japan,9,0,0,110,2
2021-05-20,Sweden,2,0,0,7,0
2021-05-21,Afghanistan,3,0,0,34,0
2021-05-21,Japan,9,0,0,110,2
2021-05-21,Sweden,2,0,0,7,0
2021-05-22,Afghanistan,3,0,0,34,0
2021-05-22,Japan,9,0,0,110,2
2021-05-22,Sweden,2,0,0,7,0
2021-05-23,Afghanistan,3,0,0,34,0
2021-05-23,Japan,9,0,0,111,1
2021-05-23,Sweden,2,0,0,7,0
2021-05-24,Afghanistan,3,0,0,34,0
2021-05-24,Japan,9,0,0,111,1
2021-05-24,Sweden,2,0,0,7,0
2021-05-25,Afghanistan,3,0,0,34,0
2021-05-25,Japan,9,0,0,111,1
2021-05-25,Sweden,2,0,0,7,0
2021-05-26,Afghanistan,3,0,0,34,0
2021-05-26,Japan,9,0,0,111,1
2021-05-26,Sweden,2,0,0,7,0
2021-05-27,Afghanistan,3,0,0,34,0
2021-05-27,Japan,9,0,0,111,1
2021-05-27,Sweden,2,0,0,7,0
2021-05-28,Afghanistan,3,0,0,34,0
2021-05-28,Japan,9,0,0,112,0
2021-05-28,Sweden,2,0,0,7,0
2021-05-29,Afghanistan,3,0,0,34,0
2021-05-29,Japan,9,0,0,112,0
2021-05-29,Sweden,2,0,0,7,0
2021-05-30,Afghanistan,3,0,0,34,0
2021-05-30,Japan,9,0,0,112,0
2021-05-30,Sweden,2,0,0,7,0
2021-05-31,Afghanistan,3,0,0,34,0
2021-05-31,Japan,9,0,0,112,0
2021-05-31,Sweden,2,0,0,7,0
2021-06-01,Afghanistan,3,0,0,34,0
2021-06-01,Japan,9,0,0,112,0
2021-06-01,Sweden,2,0,0,7,0
2021-06-02,Afghanistan,3,0,0,34,0
2021-06-02,Japan,9,0,0,112,0
2021-06-02,Sweden,2,0,0,7,0
2021-06-03,Afghanistan,3,0,0,34,0
2021-06-03,Japan,9,0,0,112,0
2021-06-03,Sweden,2,0,0,7,0
2021-06-04,Afghanistan,3,0,0,34,0
2021-06-04,Japan,9,0,0,112,0
2021-06-04,Sweden,2,0,0,7,0
2021-06-05,Afghanistan,3,0,0,34,0
2021-06-05,Japan,9,0,0,112,0
2021-06-05,Sweden,2,0,0,7,0
2021-06-06,Afghanistan,3,0,0,34,0
2021-06-06,Japan,9,0,0,112,0
2021-06-06,Sweden,2,0,0,7,0
2021-06-07,Afghanistan,3,0,0,34,0
2021-06-07,Japan,9,0,0,112,0
2021-06-07,Sweden,2,0,0,7,0
2021-06-08,Afghanistan,3,0,0,34,0
2021-06-08,Japan,9,0,0,112,0
2021-06-08,Sweden,2,0,0,7,0
2021-06-09,Afghanistan,3,0,0,34,0
2021-06-09,Japan,9,0,0,112,0
2021-06-09,Sweden,2,0,0,7,0
2021-06-10,Afghanistan,3,0,0,34,0
2021-06-10,Japan,9,0,0,112,0
2021-06-10,Sweden,2,0,0,7,0
2021-06-11,Afghanistan,3,0,0,34,0
2021-06-11,Japan,9,0,0,112,0
2021-06-11,Sweden,2,0,0,7,0
2021-06-12,Afghanistan,3,0,0,34,0
2021-06-12,Japan,9,0,0,112,0
2021-06-12,Sweden,2,0,0,7,0
2021-06-13,Afghanistan,3,0,0,34,0
2021-06-13,Japan,9,0,0,112,0
2021-06-13,Sweden,2,0,0,7,0
2021-06-14,Afghanistan,3,0,0,34,0
2021-06-14,Japan,9,0,0,112,0
2021-06-14,Sweden,2,0,0,7,0
2021-06-15,Afghanistan,3,0,0,34,0
2021-06-15,Japan,9,0,0,112,0
2021-06-15,Sweden,2,0,0,7,0
2021-06-16,Afghanistan,3,0,0,34,0
2021-06-16,Japan,9,0,0,112,0
2021-06-16,Sweden,2,0,0,7,0
2021-06-17,Afghanistan,3,0,0,34,0
2021-06-17,Japan,9,0,0,112,0
2021-06-17,Sweden,2,0,0,7,0
2021-06-18,Afghanistan,3,0,0,34,0
2021-06-18,Japan,9,0,0,112,0
2021-06-18,Sweden,2,0,0,7,0
2021-06-19,Afghanistan,3,0,0,34,0
2021-06-19,Japan,9,0,0,112,0
2021-06-19,Sweden,2,0,0,7,0
2021-06-20,Afghanistan,3,0,0,34,0
2021-06-20,Japan,9,0,0,112,0
2021-06-20,Sweden,2,0,0,7,0
2021-06-21,Afghanistan,3,0,0,34,0
2021-06-21,Japan,9,0,0,112,0
2021-06-21,Sweden,2,0,0,7,0
2021-06-22,Afghanistan,3,0,0,34,0
2021-06-22,Japan,9,0,0,112,0
2021-06-22,Sweden,2,0,0,7,0
2021-06-23,Afghanistan,3,0,0,34,0
2021-06-23,Japan,9,0,0,112,0
2021-06-23,Sweden,2,0,0,7,0
2021-06-24,Afghanistan,3,0,0,34,0
2021-06-24,Japan,9,0,0,112,0
2021-06-24,Sweden,2,0,0,7,0
2021-06-25,Afghanistan,3,0,0,34,0
2021-06-25,Japan,9,0,0,112,0
2021-06-25,Sweden,2,0,0,7,0
2021-06-26,Afghanistan,3,0,0,34,0
2021-06-26,Japan,9,0,0,112,0
2021-06-26,Sweden,2,0,0,7,0
2021-06-27,Afghanistan,3,0,0,34,0
2021-06-27,Japan,9,0,0,112,0
2021-06-27,Sweden,2,0,0,7,0
2021-06-28,Afghanistan,3,0,0,34,0
2021-06-28,Japan,9,0,0,112,0
2021-06-28,Sweden,2,0,0,7,0
2021-06-29,Afghanistan,3,0,0,34,0
2021-06-29,Japan,9,0,0,112,0
2021-06-29,Sweden,2,0,0,7,0
2021-06-30,Afghanistan,3,0,0,34,0
2021-06-30,Japan,9,0,0,112,0
2021-06-30,Sweden,2,0,0,7,0
2021-07-01,Afghanistan,3,0,0,34,0
2021-07-01,Japan,9,0,0,112,0
2021-07-01,Sweden,2,0,0,7,0
2021-07-02,Afghanistan,3,0,0,34,0
2021-07-02,Japan,9,0,0,112,0
2021-07-02,Sweden,2,0,0,7,0
2021-07-03,Afghanistan,3,0,0,34,0
2021-07-03,Japan,9,0,0,112,0
2021-07-03,Sweden,2,0,0,7,0
2021-07-04,Afghanistan,3,0,0,34,0
2021-07-04,Japan,9,0,0,112,0
2021-07-04,Sweden,2,0,0,7,0
2021-07-05,Afghanistan,3,0,0,34,0
2021-07-05,Japan,9,0,0,112,0
2021-07-05,Sweden,2,0,0,7,0
2021-07-06,Afghanistan,3,0,0,34,0
2021-07-06,Japan,9,0,0,112,0
2021-07-06,Sweden,2,0,0,7,0
2021-07-07,Afghanistan,3,0,0,34,0
2021-07-07,Japan,9,0,0,112,0
2021-07-07,Sweden,2,0,0,7,0
2021-07-08,Afghanistan,3,0,0,34,0
2021-07-08,Japan,9,0,0,112,0
2021-07-08,Sweden,2,0,0,7,0
2021-07-09,Afghanistan,3,0,0,34,0
2021-07-09,Japan,9,0,0,112,0
2021-07-09,Sweden,2,0,0,7,0
2021-07-10,Afghanistan,3,0,0,34,0
2021-07-10,Japan,9,0,0,112,0
2021-07-10,Sweden,2,0,0,7,0
2021-07-11,Afghanistan,3,0,0,34,0
2021-07-11,Japan,9,0,0,112,0
2021-07-11,Sweden,2,0,0,7,0
2021-07-12,Afghanistan,3,0,0,34,0
2021-07-12,Japan,9,0,0,112,0
2021-07-12,Sweden,2,0,0,7,0
2021-07-13,Afghanistan,3,0,0,34,0
2021-07-13,Japan,9,0,0,112,0
2021-07-13,Sweden,2,0,0,7,0
2021-07-14,Afghanistan,3,0,0,34,0
2021-07-14,Japan,9,0,0,112,0
2021-07-14,Sweden,2,0,0,7,0
2021-07-15,Afghanistan,3,0,0,34,0
2021-07-15,Japan,9,0,0,112,0
2021-07-15,Sweden,2,0,0,7,0
2021-07-16,Afghanistan,3,0,0,34,0
2021-07-16,Japan,9,0,0,112,0
2021-07-16,Sweden,2,0,0,7,0
2021-07-17,Afghanistan,3,0,0,34,0
2021-07-17,Japan,9,0,0,112,0
2021-07-17,Sweden,2,0,0,7,0
2021-07-18,Afghanistan,3,0,0,34,0
2021-07-18,Japan,9,0,0,112,0
2021-07-18,Sweden,2,0,0,7,0
2021-07-19,Afghanistan,3,0,0,34,0
2021-07-19,Japan,9,0,0,112,0
2021-07-19,Sweden,2,0,0,7,0
2021-07-20,Afghanistan,3,0,0,34,0
2021-07-20,Japan,9,0,0,112,0
2021-07-20,Sweden,2,0,0,7,0
2021-07-21,Afghanistan,3,0,0,34,0
2021-07-21,Japan,9,0,0,112,0
2021-07-21,Sweden,2,0,0,7,0
2021-07-22,Afghanistan,3,0,0,34,0
2021-07-22,Japan,9,0,0,112,0
2021-07-22,Sweden,2,0,0,7,0
2021-07-23,Afghanistan,3,0,0,34,0
2021-07-23,Japan,9,0,0,112,0
2021-07-23,Sweden,2,0,0,7,0
2021-07-24,Afghanistan,3,0,0,34,0
2021-07-24,Japan,9,0,0,112,0
2021-07-24,Sweden,2,0,0,7,0
2021-07-25,Afghanistan,3,0,0,34,0
2021-07-25,Japan,9,0,0,112,0
2021-07-25,Sweden,2,0,0,7,0
2021-07-26,Afghanistan,3,0,0,34,0
2021-07-26,Japan,9,0,0,112,0
2021-07-26,Sweden,2,0,0,7,0
2021-07-27,Afghanistan,3,0,0,34,0
2021-07-27,Japan,9,0,0,112,0
2021-07-27,Sweden,2,0,0,7,0
2021-07-28,Afghanistan,3,0,0,34,0
2021-07-28,Japan,9,0,0,112,0
2021-07-28,Sweden,2,0,0,7,0
2021-07-29,Afghanistan,3,0,0,34,0
2021-07-29,Japan,9,0,0,112,0
2021-07-29,Sweden,2,0,0,7,0
2021-07-30,Afghanistan,3,0,0,34,0
2021-07-30,Japan,9,0,0,112,0
2021-07-30,Sweden,2,0,0,7,0
2021-07-31,Afghanistan,3,0,0,34,0
2021-07-31,Japan,9,0,0,112,0
2021-07-31,Sweden,2,0,0,7,0
2021-08-01,Afghanistan,3,0,0,34,0
2021-08-01,Japan,9,0,0,112,0
2021-08-01,Sweden,2,0,0,7,0
2021-08-02,Afghanistan,3,0,0,34,0
2021-08-02,Japan,9,0,0,112,0
2021-08-02,Sweden,2,0,0,7,0
2021-08-03,Afghanistan,3,0,0,34,0
2021-08-03,Japan,9,0,0,112,0
2021-08-03,Sweden,2,0,0,7,0
2021-08-04,Afghanistan,3,3,0,31,0
2021-08-04,Japan,9,17,0,95,0
2021-08-04,Sweden,2,0,0,7,0
2021-08-05,Afghanistan,3,5,0,29,0
2021-08-05,Japan,9,24,7,81,0
2021-08-05,Sweden,2,0,0,7,0
2021-08-06,Afghanistan,3,6,0,28,0
2021-08-06,Japan,9,20,15,77,0
2021-08-06,Sweden,2,0,0,7,0
2021-08-07,Afghanistan,3,6,2,26,0
2021-08-07,Japan,9,13,23,76,0
2021-08-07,Sweden,2,2,0,5,0
2021-08-08,Afghanistan,3,3,5,26,0
2021-08-08,Japan,9,19,25,68,0
2021-08-08,Sweden,2,2,0,5,0
2021-08-09,Afghanistan,3,3,5,26,0
2021-08-09,Japan,9,20,22,66,4
2021-08-09,Sweden,2,1,1,5,0
2021-08-10,Afghanistan,3,5,5,24,0
2021-08-10,Japan,9,14,21,69,8
2021-08-10,Sweden,2,0,2,5,0
2021-08-11,Afghanistan,3,5,4,23,2
2021-08-11,Japan,9,9,18,72,13
2021-08-11,Sweden,2,0,2,5,0
2021-08-12,Afghanistan,3,5,1,24,4
2021-08-12,Japan,9,5,20,74,13
2021-08-12,Sweden,2,0,2,5,0
2021-08-13,Afghanistan,3,5,1,24,4
2021-08-13,Japan,9,4,17,76,15
2021-08-13,Sweden,2,0,1,5,1
2021-08-14,Afghanistan,3,3,3,24,4
2021-08-14,Japan,9,6,11,77,18
2021-08-14,Sweden,2,0,0,6,1
2021-08-15,Afghanistan,3,2,3,24,5
2021-08-15,Japan,9,6,6,79,21
2021-08-15,Sweden,2,0,0,6,1
2021-08-16,Afghanistan,3,2,3,24,5
2021-08-16,Japan,9,7,3,80,22
2021-08-16,Sweden,2,0,0,6,1
2021-08-17,Afghanistan,3,2,3,24,5
2021-08-17,Japan,9,8,3,78,23
2021-08-17,Sweden,2,0,0,6,1
2021-08-18,Afghanistan,3,6,1,21,6
2021-08-18,Japan,9,19,2,68,23
2021-08-18,Sweden,2,2,0,4,1
2021-08-19,Afghanistan,3,6,3,18,7
2021-08-19,Japan,9,28,6,55,23
2021-08-19,Sweden,2,4,0,2,1
2021-08-20,Afghanistan,3,8,4,15,7
2021-08-20,Japan,9,30,13,46,23
2021-08-20,Sweden,2,5,0,1,1
2021-08-21,Afghanistan,3,6,8,13,7
2021-08-21,Japan,9,23,22,43,24
2021-08-21,Sweden,2,4,1,1,1
2021-08-22,Afghanistan,3,6,8,13,7
2021-08-22,Japan,9,18,32,38,24
2021-08-22,Sweden,2,3,2,1,1
2021-08-23,Afghanistan,3,5,6,13,10
2021-08-23,Japan,12,17,32,38,22
2021-08-23,Sweden,2,3,2,1,1
2021-08-24,Afghanistan,3,8,6,10,10
2021-08-24,Japan,13,11,32,44,21
2021-08-24,Sweden,2,3,2,1,1
2021-08-25,Afghanistan,4,6,4,13,10
2021-08-25,Japan,14,9,24,53,21
2021-08-25,Sweden,2,2,2,1,2
2021-08-26,Afghanistan,5,4,7,13,8
2021-08-26,Japan,14,7,16,56,28
2021-08-26,Sweden,2,1,2,1,3
2021-08-27,Afghanistan,5,2,8,13,9
2021-08-27,Japan,15,7,13,59,27
2021-08-27,Sweden,2,1,2,2,2
2021-08-28,Afghanistan,5,3,7,12,10
2021-08-28,Japan,18,9,5,63,26
2021-08-28,Sweden,2,1,2,2,2
2021-08-29,Afghanistan,5,4,5,14,9
2021-08-29,Japan,19,8,4,66,24
2021-08-29,Sweden,2,1,1,2,3
2021-08-30,Afghanistan,5,6,2,13,11
2021-08-30,Japan,19,5,5,68,24
2021-08-30,Sweden,2,1,0,2,4
2021-08-31,Afghanistan,5,6,0,14,12
2021-08-31,Japan,20,6,4,68,23
2021-08-31,Sweden,2,1,0,2,4
2021-09-01,Afghanistan,5,7,0,14,11
2021-09-01,Japan,20,7,4,67,23
2021-09-01,Sweden,2,1,0,2,4
2021-09-02,Afghanistan,5,5,2,15,10
2021-09-02,Japan,20,7,3,67,24
2021-09-02,Sweden,2,1,0,2,4
2021-09-03,Afghanistan,5,5,2,15,10
2021-09-03,Japan,20,6,1,69,25
2021-09-03,Sweden,2,0,1,2,4
2021-09-04,Afghanistan,5,5,2,15,10
2021-09-04,Japan,20,7,1,69,24
2021-09-04,Sweden,2,0,1,2,4
2021-09-05,Afghanistan,5,5,2,15,10
2021-09-05,Japan,20,6,2,69,24
2021-09-05,Sweden,2,0,1,2,4
2021-09-06,Afghanistan,5,6,0,19,7
2021-09-06,Japan,21,6,2,70,22
2021-09-06,Sweden,2,0,1,2,4
2021-09-07,Afghanistan,5,6,0,19,7
2021-09-07,Japan,22,6,1,73,19
2021-09-07,Sweden,2,0,0,3,4
2021-09-08,Afghanistan,5,5,1,21,5
2021-09-08,Japan,24,6,1,76,14
2021-09-08,Sweden,2,0,0,4,3
2021-09-09,Afghanistan,5,4,2,21,5
2021-09-09,Japan,27,6,0,80,8
2021-09-09,Sweden,2,0,0,5,2
2021-09-10,Afghanistan,6,2,4,21,4
2021-09-10,Japan,27,6,0,81,7
2021-09-10,Sweden,2,0,0,5,2
2021-09-11,Afghanistan,6,1,5,22,3
2021-09-11,Japan,28,4,2,82,5
2021-09-11,Sweden,2,0,0,5,2
2021-09-12,Afghanistan,6,1,4,22,4
2021-09-12,Japan,29,4,2,82,4
2021-09-12,Sweden,2,0,0,6,1
2021-09-13,Afghanistan,6,1,3,24,3
2021-09-13,Japan,29,3,3,83,3
2021-09-13,Sweden,3,0,0,6,0
2021-09-14,Afghanistan,6,1,1,26,3
2021-09-14,Japan,29,1,5,83,3
2021-09-14,Sweden,3,0,0,6,0
2021-09-15,Afghanistan,6,1,0,26,4
2021-09-15,Japan,29,1,3,84,4
2021-09-15,Sweden,3,0,0,6,0
2021-09-16,Afghanistan,6,1,0,26,4
2021-09-16,Japan,29,1,3,85,3
2021-09-16,Sweden,3,0,0,6,0
2021-09-17,Afghanistan,6,1,0,26,4
2021-09-17,Japan,29,1,2,87,2
2021-09-17,Sweden,3,0,0,6,0
2021-09-18,Afghanistan,6,1,0,26,4
2021-09-18,Japan,29,0,1,89,2
2021-09-18,Sweden,3,0,0,6,0
2021-09-19,Afghanistan,6,0,1,26,4
2021-09-19,Japan,29,0,1,89,2
2021-09-19,Sweden,3,0,0,6,0
2021-09-20,Afghanistan,6,0,1,26,4
2021-09-20,Japan,29,1,1,88,2
2021-09-20,Sweden,3,0,0,6,0
2021-09-21,Afghanistan,6,0,1,26,4
2021-09-21,Japan,29,1,1,88,2
2021-09-21,Sweden,3,0,0,6,0
2021-09-22,Afghanistan,6,0,1,26,4
2021-09-22,Japan,29,1,0,88,3
2021-09-22,Sweden,3,0,0,6,0
2021-09-23,Afghanistan,6,0,0,27,4
2021-09-23,Japan,29,1,0,89,2
2021-09-23,Sweden,3,0,0,6,0
2021-09-24,Afghanistan,6,0,0,27,4
2021-09-24,Japan,29,1,0,89,2
2021-09-24,Sweden,3,0,0,6,0
2021-09-25,Afghanistan,6,0,0,27,4
2021-09-25,Japan,29,2,0,88,2
2021-09-25,Sweden,3,0,0,6,0
2021-09-26,Afghanistan,6,0,0,28,3
2021-09-26,Japan,29,2,0,88,2
2021-09-26,Sweden,3,0,0,6,0
2021-09-27,Afghanistan,6,0,0,29,2
2021-09-27,Japan,29,2,0,88,2
2021-09-27,Sweden,3,0,0,6,0
2021-09-28,Afghanistan,6,0,0,30,1
2021-09-28,Japan,29,2,0,88,2
2021-09-28,Sweden,3,0,0,6,0
2021-09-29,Afghanistan,6,0,0,31,0
2021-09-29,Japan,29,2,0,89,1
2021-09-29,Sweden,3,0,0,6,0
2021-09-30,Afghanistan,6,0,0,31,0
2021-09-30,Japan,29,2,0,89,1
2021-09-30,Sweden,3,0,0,6,0
2021-10-01,Afghanistan,6,0,0,31,0
2021-10-01,Japan,29,2,0,89,1
2021-10-01,Sweden,3,0,0,6,0
2021-10-02,Afghanistan,6,0,0,31,0
2021-10-02,Japan,29,2,0,89,1
2021-10-02,Sweden,3,0,0,6,0
2021-10-03,Afghanistan,6,0,0,31,0
2021-10-03,Japan,29,2,0,89,1
2021-10-03,Sweden,3,0,0,6,0
2021-10-04,Afghanistan,6,0,0,31,0
2021-10-04,Japan,29,2,0,89,1
2021-10-04,Sweden,3,0,0,6,0
2021-10-05,Afghanistan,6,0,0,31,0
2021-10-05,Japan,29,2,0,89,1
2021-10-05,Sweden,3,0,0,6,0
2021-10-06,Afghanistan,6,0,0,31,0
2021-10-06,Japan,29,2,0,90,0
2021-10-06,Sweden,3,0,0,6,0
2021-10-07,Afghanistan,6,0,0,31,0
2021-10-07,Japan,29,2,0,90,0
2021-10-07,Sweden,3,0,0,6,0
2021-10-08,Afghanistan,6,0,0,31,0
2021-10-08,Japan,29,2,0,90,0
2021-10-08,Sweden,3,0,0,6,0
2021-10-09,Afghanistan,6,0,0,31,0
2021-10-09,Japan,29,2,0,90,0
2021-10-09,Sweden,3,0,0,6,0
2021-10-10,Afghanistan,6,0,0,31,0
2021-10-10,Japan,29,1,1,90,0
2021-10-10,Sweden,3,0,0,6,0
2021-10-11,Afghanistan,6,0,0,31,0
2021-10-11,Japan,29,1,1,90,0
2021-10-11,Sweden,3,0,0,6,0
2021-10-12,Afghanistan,6,0,0,31,0
2021-10-12,Japan,29,1,1,90,0
2021-10-12,Sweden,3,0,0,6,0
2021-10-13,Afghanistan,6,0,0,31,0
2021-10-13,Japan,29,1,1,90,0
2021-10-13,Sweden,3,0,0,6,0
2021-10-14,Afghanistan,6,0,0,31,0
2021-10-14,Japan,29,1,0,91,0
2021-10-14,Sweden,3,0,0,6,0
2021-10-15,Afghanistan,6,0,0,31,0
2021-10-15,Japan,29,0,1,91,0
2021-10-15,Sweden,3,0,0,6,0
2021-10-16,Afghanistan,6,0,0,31,0
2021-10-16,Japan,29,0,1,91,0
2021-10-16,Sweden,3,0,0,6,0
2021-10-17,Afghanistan,6,0,0,31,0
2021-10-17,Japan,29,0,1,91,0
2021-10-17,Sweden,3,0,0,6,0
2021-10-18,Afghanistan,6,0,0,31,0
2021-10-18,Japan,29,0,1,91,0
2021-10-18,Sweden,3,0,0,6,0
2021-10-19,Afghanistan,6,0,0,31,0
2021-10-19,Japan,29,0,0,91,1
2021-10-19,Sweden,3,0,0,6,0
2021-10-20,Afghanistan,6,0,0,31,0
2021-10-20,Japan,29,0,0,91,1
2021-10-20,Sweden,3,0,0,6,0
2021-10-21,Afghanistan,6,0,0,31,0
2021-10-21,Japan,29,0,0,91,1
2021-10-21,Sweden,3,0,0,6,0
2021-10-22,Afghanistan,6,0,0,31,0
2021-10-22,Japan,29,0,0,91,1
2021-10-22,Sweden,3,0,0,6,0
2021-10-23,Afghanistan,6,0,0,31,0
2021-10-23,Japan,29,0,0,91,1
2021-10-23,Sweden,3,0,0,6,0
2021-10-24,Afghanistan,6,0,0,31,0
2021-10-24,Japan,29,0,0,91,1
2021-10-24,Sweden,3,0,0,6,0
2021-10-25,Afghanistan,6,0,0,31,0
2021-10-25,Japan,29,0,0,91,1
2021-10-25,Sweden,3,0,0,6,0
2021-10-26,Afghanistan,6,0,0,31,0
